molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL3601364,CCNC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=O)C(N)=O,IC50,,,
CHEMBL4076175,Fc1ccc(-c2noc(CCCBr)n2)cc1,IC50,'=',19800,nM
CHEMBL4094485,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NC1CCOCC1)C3,IC50,'=',1110,nM
CHEMBL4102722,Cc1ccc(NC2CCc3c(sc4ncn(Cc5ccc6ccccc6c5)c(=O)c34)C2)cc1,IC50,,,
CHEMBL4102223,COc1ccc(Cn2cnc3sc4c(c3c2=O)CCC(NC2CCOCC2)C4)c2ccccc12,IC50,'=',5060,nM
CHEMBL4064285,O=c1c2c3c(sc2ncn1Cc1cccc2cccnc12)CC(NC1CCOCC1)CC3,IC50,,,
CHEMBL4081608,O=c1c2c3c(sc2ncn1Cc1cccc2cccnc12)CC(NCCN1CCCC1)CC3,IC50,,,
CHEMBL4870792,Cc1cccc(C)c1CN1CC(C(N)=O)Oc2ccccc21,IC50,'>',60000,nM
CHEMBL4852795,NC(=O)C1CN(Cc2ccccc2C(=O)O)c2ccccc2O1,IC50,'>',60000,nM
CHEMBL4876108,NC(=O)C1CN(Cc2cccc(Br)c2)c2ccccc2O1,IC50,'=',1760,nM
CHEMBL4103167,O=c1c2c3c(sc2ncn1Cc1cccc2ccccc12)CC(NC1CCCC1)CC3,IC50,,,
CHEMBL4070242,O=c1c2c3c(sc2ncn1Cc1cccc2ccccc12)CC(NC1CCc2ccccc21)CC3,IC50,,,
CHEMBL4100879,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1ccccc1F)C3,IC50,,,
CHEMBL4063332,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccc(Cl)c1)C3,IC50,,,
CHEMBL4063879,COc1cccc(CNC2CCc3c(sc4ncn(Cc5cccc(OC)c5)c(=O)c34)C2)c1,IC50,,,
CHEMBL4060647,COc1ccccc1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cncnc1)C3,IC50,,,
CHEMBL4061689,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCC1CCCCC1)C3,IC50,'=',1650,nM
CHEMBL4086150,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCC1CCOC1)C3,IC50,'=',6030,nM
CHEMBL4066736,O=c1c2c3c(sc2ncn1Cc1ccc2cccnc2c1)CC(NCC1CCOC1)CC3,IC50,,,
CHEMBL3609647,CCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](CCCCNC(C)=O)C(N)=O,IC50,'=',7710,nM
CHEMBL472515,CC(C)(NC(=O)/C=C/c1ccccc1)C(=O)NCCc1c[nH]c2ccccc12,IC50,'=',100000,nM
CHEMBL4796291,Cl.NCCSC(c1ccccc1)(c1ccccc1)c1ccccc1,IC50,'>',100000,nM
CHEMBL4749343,CCN(CC)c1ccnc(CNCCSC(c2ccccc2)(c2ccccc2)c2ccccc2)c1,IC50,'=',7600,nM
CHEMBL4163136,Cn1cc(C(=O)Nc2ccc(OCc3cccc(NC(=O)CSc4nnc5ccccn45)c3)cc2)cn1,IC50,'>',300000,nM
CHEMBL4163559,Cc1cc(C)nc(SCC(=O)Nc2cccc(COc3cccc(NC(=O)C4CCCN4)c3)c2)n1,IC50,'=',141600,nM
CHEMBL4170003,C/C=C/C(=O)Nc1ccc(OCc2cccc(NC(=O)CSc3nc(C)cc(C)n3)c2)cc1,IC50,'=',89300,nM
CHEMBL4763061,Cl.O=C(NO)c1cnc(N2CCC3(CCN(Cc4c[nH]c5ccccc45)C3)CC2)nc1,IC50,'>',10000,nM
CHEMBL3608444,CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](CCc1ccccc1)C(N)=O,IC50,'=',650,nM
CHEMBL426391,,,,,
CHEMBL225007,,,,,
CHEMBL270075,O=C1CC(c2cccc(Br)c2)c2c(ccc3cc(Br)ccc23)O1,IC50,'=',10100,nM
