DATABASE_ID,SMILES,DRUG_GROUPS
DB00497,COc1ccc2c3c1OC1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,approved; illicit; investigational
DB00502,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,approved
DB00504,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,approved
DB00505,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,withdrawn
DB00507,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,approved; investigational; vet_approved
DB00508,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,approved; vet_approved
DB00514,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,approved
DB00517,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,approved
DB00519,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@H]2CCCC[C@@H]21,approved
DB00521,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,approved
DB00522,O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,investigational; withdrawn
DB00524,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,approved
DB00525,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,approved; investigational; vet_approved
DB00527,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,approved; vet_approved
DB00530,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,approved; investigational
DB00533,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,approved; investigational; withdrawn
DB00535,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)[C@H]2SC1,approved
DB00537,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,approved; investigational
DB00540,CNCCC=C1c2ccccc2CCc2ccccc21,approved
DB00542,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,approved; investigational
DB00543,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,approved
DB00546,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,experimental
DB00547,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)C1C(=O)CO,approved
DB00554,CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,approved; investigational
DB00557,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,approved
DB00561,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,approved; vet_approved
DB00562,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,approved
DB00563,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,approved
DB00567,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)[C@H]2SC1,approved; investigational; vet_approved
DB00568,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,approved; investigational
DB00572,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,approved; vet_approved
DB00578,CC1(C)S[C@@H]2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,approved; investigational
DB00579,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,approved; investigational
DB00580,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,approved; investigational; withdrawn
DB00582,CC(c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,approved
DB00584,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,approved; vet_approved
DB00585,CN=C(C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,approved
DB00589,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,approved; investigational
DB00590,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,approved
DB00591,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,approved; investigational; vet_approved
DB00596,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,approved
DB00598,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,approved
DB00601,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,approved; investigational
DB00603,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,approved; investigational
DB00604,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,approved; investigational; withdrawn
DB00605,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1,approved; investigational
DB00606,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,approved
DB00607,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,approved; investigational
